recipes_id,title,cook_time_minutes,ingredients,instructions,photo_url,prep_time_minutes,total_time_minutes,rating_stars,review_count
0,"Basil, Roasted Peppers and Monterey Jack Cornbread",25,"['1/2 cup unsalted butter, chilled and cubed', '1 cup chopped onion', '1 3/4 cups cornmeal', '1 1/4 cups all-purpose flour', '1/4 cup white sugar', '1 tablespoon baking powder', '1 1/2 teaspoons salt', '1/2 teaspoon baking soda', '1 1/2 cups buttermilk', '3 eggs', '1 1/2 cups shredded pepperjack cheese', '1 1/3 cups frozen corn kernels, thawed and drained', '2 ounces roasted marinated red bell peppers, drained and chopped', '1/2 cup chopped fresh basil']","['Preheat oven to 400 degrees F (205 degrees C). Butter a 9x9x2 inch baking pan.', 'Melt 1 tablespoon butter in medium nonstick skillet over medium-low heat. Add onion and saute until tender, about 10 minutes. Cool.', 'Mix cornmeal with the flour, baking powder, sugar, salt, and baking soda in large bowl. Add 7 tablespoons butter and rub with fingertips until mixture resembles coarse meal.', 'Whisk buttermilk and eggs in medium bowl to blend. Add buttermilk mixture to dry ingredients and stir until blended. Mix in cheese, corn, red peppers, basil, and onion. Transfer to prepared pan.', 'Bake cornbread until golden and tester inserted comes out clean, about 45 minutes. Cool 20 minutes in pan. Cut cornbread into squares.']",http://images.media-allrecipes.com/userphotos/560x315/582853.jpg,55,100,4.32,46
1,Crispy Cheese Twists,0,"['1/2 cup Parmesan cheese', '3/4 teaspoon ground black pepper', '1/2 teaspoon garlic powder', '1 (17.5 ounce) package frozen puff pastry, thawed', '1 egg white']","['Combine parmesan cheese, pepper and garlic powder. Unfold pastry sheets onto cutting board. Brush lightly with egg white; sprinkle each sheet with 1/4 of the cheese mixture. Lightly press into pastry, turn over; repeat. Cut each sheet into 12 (1-inch) strips; twist.', 'Place on ungreased cookie sheet and bake in 350 degrees F (175 degrees C) oven for 15 minutes or until golden brown.']",http://images.media-allrecipes.com/userphotos/250x250/69987.jpg,0,0,4.18,44
2,Mom's Yeast Rolls,0,"['2 cups hot water', '1/2 cup margarine', '1/3 cup white sugar', '2 teaspoons salt', '1/2 cup cold water', '2 (.25 ounce) packages active dry yeast', '5 1/2 cups all-purpose flour', '2 eggs']","['Melt margarine in hot water. Add sugar and salt and stir. Add cold water and yeast. Stir to dissolve yeast.', 'Add 3 cups flour and mix. Add eggs and 2 1/2 - 3 cups more flour. Mix, cover and let rise until dough doubles in size.', 'Punch down and let rise 30 more minutes or until doubles.', 'Make walnut size balls of dough. Place about 2 inches apart in well-buttered 9 x 13 inch pan. Bake in a preheated 350 degrees F (175 degrees C) oven for 30-45 minutes. Brush top of rolls with margarine while hot.']",http://images.media-allrecipes.com/userphotos/250x250/5461.jpg,0,0,3.65,168
3,Sweet Potato Bread I,0,"['1 1/2 cups white sugar', '1/2 cup vegetable oil', '2 eggs', '1 3/4 cups sifted all-purpose flour', '1 teaspoon baking soda', '1/4 teaspoon salt', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground nutmeg', '1/3 cup water', '1 cup cooked and mashed sweet potatoes', '1/2 cup chopped pecans']","['Combine sugar and oil; beat well. Add eggs and beat. Combine flour, baking soda, salt, cinnamon and nutmeg. Stir flour mixture into egg mixture alternately with water. Stir in sweet potatoes and chopped nuts.', 'Pour batter into greased 9x5 inch loaf pan (or 2 small loaf pans). Bake at 350 degrees F (175 degrees C) for about one hour.']",http://images.media-allrecipes.com/userphotos/250x250/394676.jpg,0,0,4.7,344
4,Orange Buns,45,"['1/4 cup butter', '1 teaspoon white sugar', '1 cup hot milk', '2 tablespoons active dry yeast', '6 cups bread flour, divided', '1/2 cup white sugar', '2 eggs', '1 cup orange juice', '1 tablespoon orange zest', '1 teaspoon salt']","['Stir butter and 1 teaspoon sugar into the hot milk until butter is melted. When mixture is lukewarm, stir in yeast and set aside for 5 minutes.', 'When mixture is creamy, transfer to a large mixing bowl. Mix in 2 cups of bread flour. Add 1/2 cup sugar, eggs, orange juice, orange zest, and salt and beat until combined. Add remaining flour, mixing well after each addition, until it pulls away from the sides of the bowl.', 'Knead for about 10 minutes. Transfer dough to a greased bowl, cover with plastic wrap, and let rise until doubled, about 1 hour. If time permits, you can punch dough down, cover it, and let it rise again.', 'Transfer dough to a lightly floured work surface. Cut dough into 3 balls, cover with plastic wrap, and let rest for 10 minutes.', 'Preheat oven to 375 degrees F (190 degrees C). Lightly grease two baking sheets or line with parchment paper.', 'Shape each piece of dough into braided loaves or buns; place on baking sheets. Let rise until doubled, about 30 minutes.', ""Bake until rolls or loaves are golden brown, 10 to 12 minutes for individual buns, about 20 minutes for braids. Frost rolls, if desired (see Cook's Note) or sprinkle with confectioners' sugar.""]",http://images.media-allrecipes.com/userphotos/560x315/4499841.jpg,20,170,4.71,6
5,Cornish Splits,0,"['1 teaspoon active dry yeast', '1 1/4 cups lukewarm milk', '1 tablespoon white sugar', '3 cups unbleached all-purpose flour', '1/4 teaspoon salt', '2 tablespoons butter, melted and cooled']","['In a small bowl, dissolve the yeast in the milk and add the sugar. In another bowl, sift the flour and salt together and add the cooled melted butter.', 'Add the yeast mixture to the flour mixture, and turn out onto a floured counter and knead until the dough is smooth and elastic. Place the dough in an oiled bowl, cover with a clean towel and let rise in a warm, draft free place to 45 minutes.', 'Turn dough out onto the freshly floured board and shape into 9 balls. Place dough balls into a buttered and floured 9 inch square pan. Let them sit, covered for another 15 minutes to rise again. Preheat the oven to 425 degrees F (220 degrees C).', 'Bake for 15-20 minutes until browned and puffed. Split open and serve warm.']",http://images.media-allrecipes.com/userphotos/560x315/1843306.jpg,0,0,4.33,88
6,Jalapeno Cheese Bread,0,"['8 cups all-purpose flour', '4 cups shredded Cheddar cheese', '3/4 cup minced jalapeno peppers', '1/2 cup white sugar', '1 1/2 teaspoons salt', '2 cups hot water', '3 (.25 ounce) packages active dry yeast', '4 tablespoons vegetable oil']","['In a very large bowl, combine 7 cups of flour, cheese, jalapenos, 7 tablespoons sugar and the salt; mix well.', 'In a separate bowl, combine the water, yeast and remaining 1 tablespoon sugar. Let sit about 10 minutes; stir until all yeast is dissolved.', 'Add the oil to the liquid mixture, stirring . Add half of the liquid mixture to the flour mixture. Mix with hands to moisten flour as much as possible. Add remaining liquid mixture to dough and mix until flour is thoroughly incorporated.', 'Turn onto a lightly floured surface and knead by hand until smooth and elastic to the touch, about 15 minutes, gradually adding only enough additional flour to keep dough from sticking.', 'Place in a large greased bowl and invert dough so top is greased; cover with a dry towel and let stand in a warm place (90 - 100F) until doubled in size, about 1 hour. Punch down dough.', 'To Make Bread: Divide dough into 3 equal portions. Form each into a ball, then stretch out dough with both hands and tuck edges under to form a smooth surface. Pop any large air bubbles by pinching them. Form into loaves. (Note: I like to use a rolling pin and roll out dough, which pops all bubbles easily and quickly.) Place in 3 greased 8 1/2 x 4 1/2 inch loaf pans. Cover with towel again and allow to rise until almost doubled in size, about 45 minutes to 1 hour.', 'Bake at 325 degrees F (165 degrees C) until dark brown and done, about 1 hour, rotating the pans after 25 minutes for more even browning. Remove from pan as soon as bread will easily lift out, after about 5 to 10 minutes. Let cool about 1 hour before slicing.']",http://images.media-allrecipes.com/userphotos/560x315/3875224.jpg,0,0,4.33,86
7,Dee's Health Bread,0,"['2 tablespoons active dry yeast', '1 teaspoon white sugar', '1/2 cup warm water', '3 1/2 cups warm water', '1/4 cup honey', '1/4 cup molasses', '1/2 cup vegetable oil', '2 eggs', '2 tablespoons lemon juice', '7 cups whole wheat flour', '1/4 cup flax seed', '1/4 cup cracked wheat', '1/4 cup sunflower seeds', '4 teaspoons salt', '4 cups bread flour']","['In a small bowl, dissolve the yeast and sugar in 1/2 cup warm water. In a large bowl, mix remaining 3 1/2 cups warm water, honey, molasses, oil, eggs and lemon juice. Mix well. Add yeast mixture and stir.', 'Gradually add 5 cups whole wheat flour beating well after each addition. Add the flax, cracked wheat and sunflower seeds, stir well.', 'Let stand for 20 minutes, until mixture is very light. Stir in salt and the rest of the flours until dough pulls away from the sides of the bowl.', 'Knead 10 to 15 minutes until dough is smooth and elastic. Put into a greased bowl and cover, let rise in the oven with light on until doubled, about 1 hour.', 'Punch down and shape into 6 round balls. Cover and let rest for 20 minutes.', 'Form into loaves and let rise covered in oven until doubled. Bake at 375 degrees F (190 degrees C) 25-35 minutes.']",http://images.media-allrecipes.com/userphotos/250x250/111116.jpg,0,0,4.81,133
8,Oatmeal Bread I,45,"['1 cup rolled oats', '1/2 cup molasses', '1/3 cup vegetable oil', '1 teaspoon salt', '1 1/2 cups boiling water', '2 tablespoons active dry yeast', '1/2 cup lukewarm water (100 degrees F/38 degrees C)', '1 cup whole wheat flour', '5 cups bread flour', '2 eggs']","['Combine oats, molasses, oil, salt and boiling water. Let cool to about 105 degrees F.', 'Dissolve the yeast in the warm water and let stand for 5 minutes or until creamy. Stir the yeast into oat mixture and mix well. Add whole wheat flour, 2 cups bread flour, and the eggs. Mix until well combined.', 'Stir in enough of the remaining flour to make a soft dough. Turn dough out to a floured counter and knead for about 10 minutes. Place the dough in a well-greased bowl and cover with greased plastic wrap. Let the dough rest in the refrigerator overnight.', 'Preheat oven to 375 degrees F (190 degrees C). Grease 3 regular loaf pans and 4 mini loaf pans.', 'Transfer the dough onto a floured surface and divide it into 4 pieces. Shape the dough into loaves and place them in the pans, seam-side down. Let rise until doubled, about 90 minutes. Bake in the preheated oven until the loaves are golden brown and sound hollow when tapped, about 30 minutes.']",http://images.media-allrecipes.com/userphotos/250x250/823523.jpg,30,0,4.59,29
9,Strawberry Bread I,0,"['3 cups all-purpose flour', '2 cups white sugar', '1 teaspoon ground cinnamon', '1 teaspoon salt', '1 teaspoon baking soda', '4 eggs', '1 1/4 cups vegetable oil', '1 cup chopped pecans', '1 (10 ounce) package frozen strawberries, thawed']","['Grease and flour a 9 x 5 inch pan well. Preheat oven to 350 degrees F (175 degrees C).', 'In a large mixing bowl, sift together sugar, flour, cinnamon, salt, and baking soda.', 'In a smaller bowl, beat the eggs and oil. Stir in pecans and strawberries. Add egg mixture to the sifted ingredients, and stir until just combined.', 'Bake for 1 hour, or until tester inserted in the center comes out clean.']",http://images.media-allrecipes.com/userphotos/250x250/347834.jpg,0,0,3.95,36
